,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
0,Jan-10,4.460338200000001,10.78227,27.047728000000003,0.7198130470248463,0.5831257302850592,31314.14591666667,41560.30766666667,20926.222416666667,20634.092416666666,9572.27775,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.68
1,Feb-10,7.1079094,10.659104,26.831646000000003,0.7198130470248463,0.5831257302850592,31372.013333333332,41654.38133333333,20973.346333333335,20681.042333333335,9607.155999999999,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.64
2,Mar-10,11.3659615,11.953104,27.468187,0.7198130470248463,0.5831257302850592,31429.88075,41748.455,21020.47025,20727.99225,9642.03425,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.63
3,Apr-10,12.7494965,13.551364000000001,25.737667000000002,0.7374501201525607,0.5908419497784343,31487.748166666668,41842.528666666665,21067.594166666666,20774.942166666668,9676.9125,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.64
4,May-10,10.510549,12.708521000000001,25.07725,0.7264269494477392,0.5710002425097556,31545.615583333332,41936.602333333336,21114.718083333333,20821.892083333332,9711.79075,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.65
5,Jun-10,5.1704951999999995,11.459114999999999,23.615779999999997,0.6911528031923103,0.5511585352410767,31603.483,42030.676,21161.842,20868.842,9746.669,97.0,-1.17,27320.0,5500.0,58037.0,6020.0,4230.0,56914.0,520.0,4037.0,193.0,0.0,0.59
6,Jul-10,6.559914999999999,10.724718,23.219261,0.7418593884344893,0.5732048766507198,31661.795916666666,42126.309166666666,21209.785,20916.531166666668,9783.08,97.0,-1.1758333333333333,27345.833333333332,5525.0,58037.0,6045.833333333333,4233.05,56914.0,520.8333333333334,4039.6,193.45,0.0,0.51
7,Aug-10,5.259674,11.443342999999999,23.920479,0.7209153640953284,0.5820234132145771,31720.108833333332,42221.94233333333,21257.728,20964.220333333335,9819.491,97.0,-1.1816666666666666,27371.666666666668,5550.0,58037.0,6071.666666666667,4236.1,56914.0,521.6666666666666,4042.2,193.9,0.0,0.48
8,Sep-10,5.224927,10.474198,24.425342999999998,0.7352454860115964,0.5676932912983089,31778.42175,42317.575500000006,21305.671000000002,21011.9095,9855.902,97.0,-1.1875,27397.5,5575.0,58037.0,6097.5,4239.15,56914.0,522.5,4044.8,194.35,0.0,0.46
9,Oct-10,6.407995600000001,10.802667,25.905949,0.7716219493375075,0.5103728036332371,31836.734666666667,42413.20866666667,21353.614,21059.59866666667,9892.313,97.0,-1.1933333333333334,27423.333333333332,5600.0,58037.0,6123.333333333333,4242.2,56914.0,523.3333333333334,4047.4,194.8,0.0,0.44
10,Nov-10,5.3850777,11.134428,25.066936,0.8366586564959545,0.5676932912983089,31895.047583333333,42508.84183333334,21401.557,21107.287833333336,9928.724,97.0,-1.1991666666666667,27449.166666666668,5625.0,58037.0,6149.166666666667,4245.25,56914.0,524.1666666666666,4050.0,195.25,0.0,0.42
11,Dec-10,3.8532400000000004,11.514406,26.068270000000002,0.8465795101302941,0.574307193721202,31953.360500000003,42604.475000000006,21449.5,21154.977,9965.135,97.0,-1.205,27475.0,5650.0,58037.0,6175.0,4248.3,56914.0,525.0,4052.6,195.7,0.0,0.59
12,Jan-11,2.3000502,9.891645,27.314915000000003,0.8598073149760798,0.5908419497784343,32011.67341666667,42700.10816666667,21497.443,21202.666166666666,10001.546,97.0,-1.2108333333333332,27500.833333333332,5675.0,58037.0,6200.833333333333,4251.35,56914.0,525.8333333333334,4055.2,196.15,0.0,0.6
13,Feb-11,3.2546440000000003,9.821605,27.519146000000003,0.9050023148658479,0.668004144712185,32069.986333333334,42795.74133333334,21545.386,21250.355333333333,10037.957,97.0,-1.2166666666666666,27526.666666666668,5700.0,58037.0,6226.666666666667,4254.400000000001,56914.0,526.6666666666666,4057.7999999999997,196.6,0.0,0.6
14,Mar-11,8.4586685,11.598417,27.068188,0.8355563394254724,0.6106836570471129,32128.29925,42891.374500000005,21593.328999999998,21298.0445,10074.368,97.0,-1.2225,27552.5,5725.0,58037.0,6252.5,4257.450000000001,56914.0,527.5,4060.3999999999996,197.05,0.0,0.63
15,Apr-11,6.984951,13.238864999999999,26.300167,0.9777552415176702,0.653674022795917,32186.612166666666,42987.00766666668,21641.272,21345.733666666667,10110.779,97.0,-1.2283333333333333,27578.333333333332,5750.0,58037.0,6278.333333333333,4260.5,56914.0,528.3333333333334,4063.0,197.5,0.0,0.68
16,May-11,8.263639999999999,12.972584,25.896,0.9446857294032056,0.7087898763200248,32244.925083333335,43082.640833333346,21689.215,21393.422833333334,10147.19,97.0,-1.2341666666666666,27604.166666666668,5775.0,58037.0,6304.166666666667,4263.55,56914.0,529.1666666666666,4065.6,197.95000000000002,0.0,0.74
17,Jun-11,4.3082626,11.341928,24.432968,0.9645274366718845,0.6867435349103816,32303.238,43178.27400000001,21737.158,21441.112,10183.601,97.0,-1.24,27630.0,5800.0,58037.0,6330.0,4266.6,56914.0,530.0,4068.2,198.4,0.0,0.82
