,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
0,Jan-10,13.941298,13.327754,24.736055,0.5654886571573448,0.48832646222359394,8418.583166666667,9932.434666666666,5064.679833333334,4867.7548333333325,1716.0105,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.42
1,Feb-10,31.847662000000003,13.0146265,24.108701999999997,0.5654886571573448,0.48832646222359394,8437.195333333333,9953.815333333334,5075.435666666666,4878.379666666666,1719.848,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.42
2,Mar-10,15.493356,14.120647,24.633526,0.5654886571573448,0.48832646222359394,8455.8075,9975.196,5086.1915,4889.004499999999,1723.6855,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.42
3,Apr-10,18.309883,13.764366,24.545443,0.5654886571573448,0.48832646222359394,8474.419666666667,9996.576666666666,5096.9473333333335,4899.629333333333,1727.5230000000001,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.37
4,May-10,15.413672,13.781482,23.507832,0.5654886571573448,0.48832646222359394,8493.031833333334,10017.957333333334,5107.703166666666,4910.254166666667,1731.3605,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.44
5,Jun-10,5.514946999999999,12.877957,24.445251000000003,0.5654886571573448,0.48832646222359394,8511.644,10039.338,5118.459,4920.879,1735.198,108.0,-0.27,1803.92,1123.92,2634.0,1373.92,446.0,2467.0,250.0,55.0,384.0,7.0,0.46
6,Jul-10,2.8025729999999998,12.439471000000001,25.43517,0.5654886571573448,0.48832646222359394,8530.242666666667,10060.504083333333,5129.093666666667,4931.410583333333,1739.0350833333334,108.16666666666667,-0.2625,1804.9633333333334,1125.38,2634.0,1375.38,446.56666666666666,2467.0,250.0,55.0,384.56666666666666,7.0,0.42
7,Aug-10,5.4492935,12.803041,25.996698000000002,0.7275292665182214,0.552260852311559,8548.841333333334,10081.670166666667,5139.7283333333335,4941.942166666667,1742.8721666666668,108.33333333333333,-0.255,1806.0066666666667,1126.8400000000001,2634.0,1376.8400000000001,447.1333333333333,2467.0,250.0,55.0,385.1333333333333,7.0,0.42
8,Sep-10,12.762316000000002,13.049846,25.569067,0.8476818272007761,0.6261160960338632,8567.44,10102.83625,5150.362999999999,4952.47375,1746.70925,108.5,-0.2475,1807.0500000000002,1128.3000000000002,2634.0,1378.3000000000002,447.7,2467.0,250.0,55.0,385.7,7.0,0.46
9,Oct-10,14.442522,13.384651000000002,25.218510000000002,0.862011949117044,0.6459578033025419,8586.038666666667,10124.002333333334,5160.997666666666,4963.0053333333335,1750.5463333333335,108.66666666666667,-0.24000000000000002,1808.0933333333335,1129.76,2634.0,1379.76,448.26666666666665,2467.0,250.0,55.0,386.26666666666665,7.0,0.59
