,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
0,Jan-10,6.75165,25.322657,32.667496,0.7892590224652221,0.5236006084790229,32834.47908333333,43816.23708333333,21964.20633333333,21852.033166666668,12666.461916666665,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.94
1,Feb-10,7.243139000000001,24.722204,32.920227000000004,0.7892590224652221,0.5236006084790229,32895.30766666667,43922.29466666667,22016.778666666665,21905.519333333334,12725.163333333332,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.92
2,Mar-10,12.821261999999999,24.13889,32.67474,0.7892590224652221,0.5236006084790229,32956.13625,44028.35225,22069.351,21959.0055,12783.864749999999,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.885
3,Apr-10,33.406954999999996,23.871389999999998,31.418872999999998,0.7892590224652221,0.5236006084790229,33016.96483333334,44134.40983333334,22121.923333333332,22012.49166666667,12842.566166666666,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.85
4,May-10,14.131710000000002,22.687170000000002,30.650173,0.7892590224652221,0.5236006084790229,33077.79341666667,44240.46741666667,22174.495666666666,22065.977833333334,12901.267583333332,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.94
5,Jun-10,1.619183,21.363264,29.647863,0.7650080469146145,0.5423399986772195,33138.622,44346.525,22227.068,22119.464,12959.969,102.0,0.01,37450.0,11600.0,94730.0,13450.0,47920.0,88580.0,1850.0,47680.0,240.0,0.0,0.86
6,Jul-10,0.7033013300000001,20.225832,29.053976000000002,0.8157146321567936,0.5136797548446835,33199.69466666667,44457.10725,22282.089083333332,22175.02525,13021.588916666666,102.08333333333333,0.0075,37520.833333333336,11658.333333333334,94730.0,13520.833333333334,47889.0,88580.0,1862.5,47648.166666666664,240.83333333333334,0.0,0.74
7,Aug-10,1.3090102,19.950346,29.735382,0.8113053638748651,0.5687956083687913,33260.76733333334,44567.6895,22337.110166666665,22230.5865,13083.208833333332,102.16666666666667,0.005,37591.666666666664,11716.666666666666,94730.0,13591.666666666666,47858.0,88580.0,1875.0,47616.333333333336,241.66666666666666,0.0,0.7
8,Sep-10,4.257174699999999,20.431597,30.216371999999996,0.8289424370025794,0.5401353645362552,33321.840000000004,44678.27175,22392.13125,22286.14775,13144.828749999999,102.25,0.0025000000000000005,37662.5,11775.0,94730.0,13662.5,47827.0,88580.0,1887.5,47584.5,242.5,0.0,0.66
9,Oct-10,0.23638442000000004,21.206667000000003,32.02472,0.8884675588086157,0.6018651204832558,33382.91266666667,44788.854,22447.15233333333,22341.709,13206.448666666665,102.33333333333333,0.0,37733.333333333336,11833.333333333334,94730.0,13733.333333333334,47796.0,88580.0,1900.0,47552.666666666664,243.33333333333334,0.0,0.68
10,Nov-10,4.8496437,22.592117000000002,32.28917,0.9402764611212768,0.6437531691615777,33443.98533333334,44899.43625,22502.173416666665,22397.27025,13268.068583333332,102.41666666666667,-0.0025000000000000005,37804.166666666664,11891.666666666666,94730.0,13804.166666666666,47765.0,88580.0,1912.5,47520.833333333336,244.16666666666666,0.0,0.69
11,Dec-10,9.9342766,24.350245,33.01406,0.9027976807248838,0.6161952423995238,33505.058000000005,45010.018500000006,22557.194499999998,22452.8315,13329.6885,102.5,-0.004999999999999999,37875.0,11950.0,94730.0,13875.0,47734.0,88580.0,1925.0,47489.0,245.0,0.0,0.71
