,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
0,Jan-10,9.1235596,17.486720000000002,29.522416999999997,1.081373046142993,0.9490949976851342,27026.25933333333,32004.38741666667,16294.024583333334,15710.361083333333,6412.5245,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.55
1,Feb-10,13.119829,16.8195,28.321043,1.081373046142993,0.9490949976851342,27089.279666666665,32089.143333333333,16337.888666666668,15751.252666666667,6444.774,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.5
2,Mar-10,19.373402,18.344604,29.009552000000003,1.081373046142993,0.9490949976851342,27152.3,32173.899250000002,16381.752750000001,15792.14425,6477.0235,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.56
3,Apr-10,18.797446,18.381844,27.972113,1.2555391432791727,1.0042108512092418,27215.320333333333,32258.655166666667,16425.616833333333,15833.035833333333,6509.273,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.57
4,May-10,16.803384,17.471698999999997,27.359707,1.1353865825966178,0.8576026808351155,27278.340666666667,32343.411083333336,16469.480916666667,15873.927416666666,6541.5225,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.58
5,Jun-10,18.79666,16.726448,26.648083000000003,0.9016953636544016,0.6150929253290417,27341.361,32428.167,16513.345,15914.819,6573.772,107.0,-1.0,14265.0,6750.0,24155.0,8950.0,2753.0,20052.0,2200.0,2698.0,55.0,0.0,0.41
6,Jul-10,4.528779,15.866709,26.902302000000002,0.8961837783019908,0.6525717057254349,27405.477,32515.550750000002,16558.18191666667,15957.366083333332,6607.865583333333,106.91666666666667,-0.9983333333333333,14273.333333333334,6758.333333333333,24155.0,8958.333333333334,2741.7333333333336,20052.0,2200.0,2686.65,55.083333333333336,0.0,0.43
7,Aug-10,6.326236,16.125595,27.264291999999998,1.0747591437200996,0.6812319495579708,27469.593,32602.934500000003,16603.018833333335,15999.913166666665,6641.9591666666665,106.83333333333333,-0.9966666666666667,14281.666666666666,6766.666666666667,24155.0,8966.666666666666,2730.4666666666667,20052.0,2200.0,2675.3,55.166666666666664,0.0,0.58
8,Sep-10,8.635245999999999,16.833094,27.740042,1.0538151193809389,0.7407570713640071,27533.709000000003,32690.318250000004,16647.855750000002,16042.46025,6676.05275,106.75,-0.995,14290.0,6775.0,24155.0,8975.0,2719.2,20052.0,2200.0,2663.95,55.25,0.0,0.65
9,Oct-10,16.258498,17.226376000000002,28.399479,0.9942899975749026,0.7098921933905069,27597.825,32777.702000000005,16692.692666666666,16085.007333333333,6710.146333333333,106.66666666666667,-0.9933333333333333,14298.333333333334,6783.333333333333,24155.0,8983.333333333334,2707.9333333333334,20052.0,2200.0,2652.6,55.333333333333336,0.0,0.58
