,precip,mintemp,maxtemp
0,4.2954035,22.35283,31.911032
1,4.7913346,22.171766,33.14013
2,76.31323,24.5169,32.566956
3,80.76091,23.92886,31.991505
4,159.61107,22.635695,30.394907
5,157.87448,21.27327,28.28515
6,43.86214,21.358871,28.472229
7,109.31878,20.89982,28.2875
8,35.956196,20.54187,28.887587
9,68.26044,21.462015,30.15941
10,66.02911,23.689005,30.852495
11,45.466316,23.723612,30.93379
12,47.767467,24.256477,30.790197
13,6.747824,24.227148,32.6127
14,44.21546,24.7169,33.48779
15,110.46964,23.738409,30.959387
16,200.54591,22.935694,29.68536
17,169.91096,21.43525,28.14713
18,21.269794,20.258873,27.772228
19,25.063478,20.026556,28.562498
20,31.22928,21.068605,29.435156
21,16.706343,22.34118,30.543264
22,83.21756,22.736574,30.827494
23,37.98868,23.623611,32.064175
24,43.960537,24.135643,31.378914
25,45.48427,23.54503,31.5877
26,52.02025,25.2169,32.36696
27,113.662895,24.68129,30.97067
28,203.35182,22.624409,30.385359
29,33.021297,21.661985,29.23758
30,47.126022,20.558872,28.483513
31,151.74461,21.320654,27.708332
32,232.34642,21.83232,28.914324
33,227.81299,23.009584,30.290833
34,69.46491,23.87772,31.052494
35,125.86057,23.93316,31.675457
36,3.596908,23.71481,32.199745
37,6.381983,24.071766,33.6877
38,22.847616,24.753183,34.23067
39,78.93612,24.508026,33.313553
40,259.7196,23.556526,30.385359
41,106.850266,22.571533,29.083414
42,44.176643,20.458872,27.408514
43,26.863716,20.49982,29.01493
44,43.618526,21.53232,29.214323
45,52.8635,22.209585,30.333715
46,55.852158,23.425287,31.673328
47,22.301453,23.769444,32.61001
48,35.45332,24.335644,32.353912
49,22.442472,24.954578,32.276413
50,43.18883,25.028183,32.878242
51,121.139755,24.292576,31.17067
52,79.467125,22.545242,30.449074
53,76.89922,21.0507,28.483414
54,35.537838,20.206442,28.583513
55,27.37322,19.736105,28.372047
56,32.458595,21.43232,28.635157
57,196.14366,21.414446,28.395695
58,87.051094,22.889004,30.452494
59,54.10689,23.287327,30.764172
60,24.683882,22.562378,31.499746
61,6.823285,22.571766,32.1877
62,48.752197,23.750233,32.830673
63,99.08078,24.328861,31.934385
64,226.15323,22.145243,29.394907
65,37.47518,21.161985,28.33758
66,32.39953,20.470158,27.408514
67,82.158226,19.958673,27.810068
68,57.793427,20.786488,28.832205
69,105.481255,22.019133,29.843264
70,47.435265,23.234838,31.262043
71,18.583862,22.334896,31.69629
72,20.763378,23.914808,32.91763
73,6.3905463,23.76048,33.440132
74,71.798904,25.416899,32.65741
75,217.9765,23.692575,30.77067
76,197.70049,22.735693,29.885359
77,139.16695,22.161985,28.783413
78,78.87085,20.67311,27.665632
79,46.32205,21.147388,28.744617
80,124.36312,21.496037,28.278038
81,229.41974,22.92868,29.964098
82,196.85236,23.334839,29.552494
83,112.20798,23.33316,29.99091
84,23.964952,23.668976,30.906343
85,13.9791975,23.13548,31.830582
86,53.64989,23.959782,31.930672
87,91.568924,23.360458,31.265982
88,255.67804,22.799408,29.706192
89,65.62841,21.616152,28.791746
90,49.86244,20.258873,27.772228
91,144.54865,20.69982,28.251215
92,56.092148,21.83232,29.778038
93,91.82884,22.609585,30.290833
94,77.98627,22.925287,31.173328
95,63.26069,23.587326,31.454624
96,21.383482,23.071928,31.799747
97,21.956232,22.63548,30.766867
98,109.10794,23.662733,31.966957
99,111.710594,23.671741,30.549837
100,151.3363,21.945242,29.406193
101,45.086124,20.707819,27.983414
102,39.223648,20.206442,27.619799
103,24.694689,21.19982,28.7875
104,44.818275,21.63232,30.278038
105,60.75637,22.598299,30.443264
106,87.88783,22.931887,30.679926
107,25.983932,23.471182,32.211742
108,16.557983,23.351095,32.56346
109,15.874746,22.581314,31.576414
110,20.471275,24.099016,33.42234
111,93.32972,23.69379,31.635601
112,91.12434,22.635695,30.18536
113,126.554825,22.171534,29.483414
114,51.482086,20.558872,28.272228
115,21.253635,21.49982,28.8875
116,6.8838377,21.578154,29.923872
117,192.9631,22.907848,30.131979
118,113.11168,23.82529,30.78878
119,78.95093,24.523611,32.77546
120,32.795116,24.335644,32.099747
121,15.263144,23.93548,32.430584
122,52.695026,24.753183,33.066956
123,178.73868,24.78129,31.77067
124,145.39746,23.035694,29.98536
125,39.797577,22.216152,28.828032
126,26.934752,20.749325,27.908514
127,24.571615,20.99982,28.551214
128,55.854195,21.54187,28.687588
129,5.788819,22.309584,30.754549
130,64.620285,23.37772,31.12576
131,48.43644,24.114063,32.508793
132,12.672218,22.86238,32.253914
133,35.790314,22.881313,32.676414
134,43.05835,24.153183,33.066956
135,127.33539,24.517576,32.159386
136,212.3373,23.235693,30.385359
137,25.077236,21.80782,29.483414
138,14.842611,20.549324,28.483513
139,35.779995,20.911104,28.298784
140,77.36986,21.953154,28.914324
141,165.72568,22.329897,29.465313
142,149.56645,23.098553,30.162043
