,precip,mintemp,maxtemp
0,57.61605,14.893625,26.58701
1,69.45184,15.063459,26.97573
2,134.21194,15.635136,26.248344
3,145.6596,15.776802,26.848595
4,112.4047,16.022366,27.509031
5,6.787875,14.069801,26.38075
6,3.4135199,14.652646,26.947823
7,10.446234,15.961011,29.085531
8,39.12373,15.125771,27.121302
9,108.94508,14.884426,26.943531
10,143.09715,15.545781,25.939508
11,112.24063,14.648854,24.995083
12,146.93164,16.328001,26.121384
13,86.434944,16.665022,27.177292
14,159.92715,16.197636,26.634281
15,114.19288,16.02524,26.595469
16,89.14227,16.483303,26.255905
17,8.445561,14.3073015,25.980751
18,33.942623,14.605771,26.838448
19,44.451668,15.884449,28.50897
20,95.45149,15.825771,28.021303
21,112.19973,15.846927,27.252907
22,173.55792,15.169218,26.100447
23,93.361,14.725416,25.909145
24,135.17352,16.193626,26.14951
25,109.566284,16.211897,27.247604
26,126.05055,16.349197,26.485844
27,164.87213,16.839302,26.35797
28,153.52495,16.009865,25.91997
29,3.3430843,14.485427,27.257315
30,1.1336347,14.791708,27.861885
31,7.3678064,16.200073,28.748032
32,23.207516,16.074207,28.883802
33,85.01193,15.884427,26.72947
34,133.26254,15.7395315,25.809822
35,122.3569,16.086353,26.271646
36,77.56042,16.018625,26.935448
37,75.79053,16.325958,28.199167
38,132.15549,16.382011,27.532719
39,188.98122,16.625238,26.757969
40,175.01575,16.959866,26.232468
41,7.782357,15.330739,26.751064
42,3.2722626,14.607333,27.24001
43,32.32344,15.146949,28.332407
44,87.69954,16.04921,28.021303
45,123.66463,15.446926,27.029469
46,90.730194,14.964531,26.433258
47,73.12656,15.644167,27.304459
48,95.47247,16.267063,27.421385
49,64.43836,16.311897,26.724167
50,60.27107,16.235136,26.448343
51,91.743774,15.90024,25.29547
52,44.5975,16.222364,26.494968
53,5.076501,14.371365,26.76669
54,3.1936803,14.568271,27.91501
55,26.27956,15.634449,28.419907
56,72.25817,15.388271,27.20724
57,68.79826,15.209427,26.415405
58,103.32446,15.192656,25.086384
59,97.814705,15.209792,25.395082
60,127.40681,15.154563,25.747948
61,73.46347,16.113459,27.586668
62,135.99072,16.236698,26.749907
63,66.487335,16.436176,26.168907
64,112.626526,15.683302,25.232468
65,9.709915,14.908864,26.44325
66,1.0103401,13.519834,27.390009
67,32.25778,15.386011,27.83397
68,80.718414,15.913271,27.53224
69,83.999084,14.960989,27.129469
70,59.815952,14.955156,26.511383
71,58.58911,15.875417,27.659145
72,62.88191,15.779563,27.472948
73,114.448654,16.16346,27.67573
74,119.89886,16.021072,26.310844
75,159.21681,16.086178,25.481407
76,198.36374,15.683303,24.655907
77,6.444086,14.069801,26.666689
78,13.018642,14.829208,27.538446
79,22.423952,15.961011,28.485533
80,60.906166,14.211708,27.421303
81,84.278786,15.646927,28.091969
82,213.6893,15.492657,25.423883
83,136.9892,15.187917,24.357584
84,83.5762,16.042063,26.482323
85,137.59052,15.840021,26.67573
86,76.92131,15.483573,26.910845
87,162.50473,15.5643015,26.297031
88,157.45203,16.575489,26.648092
89,31.159204,14.360427,25.480751
90,41.9138,13.880771,26.113447
91,19.433533,15.146949,27.77147
92,112.90313,15.425771,27.758802
93,86.86252,15.021927,27.266968
94,131.14328,14.330156,25.337946
95,101.175735,15.634792,26.357584
96,81.81218,15.965501,27.082323
97,110.49608,15.602522,26.63823
98,125.05648,15.697636,25.810844
99,163.68307,15.186177,25.581408
100,70.91376,15.1458025,25.894968
101,27.143469,14.285427,25.819813
102,4.2362566,14.266708,27.61501
103,7.36251,15.623511,28.587095
104,85.60979,16.335146,28.64474
105,103.788666,14.846927,26.252907
106,124.503654,14.930157,25.823885
107,73.55557,14.723854,25.585707
108,83.64918,16.103,27.119822
109,137.77994,15.602522,26.614792
110,125.737686,16.221073,26.834282
111,191.9352,15.9393015,25.834532
112,115.43118,16.459866,26.109032
113,27.964596,14.883864,26.857313
114,6.250417,15.030771,27.84001
115,16.707542,16.06101,28.985533
116,74.62032,16.035147,28.605679
117,112.77125,15.585989,26.754469
118,120.44468,15.092656,25.986383
119,93.11034,16.248854,27.109146
120,110.99733,15.656126,26.872948
121,251.86331,15.224397,26.022604
122,148.07265,16.360136,26.773344
123,160.54248,16.225239,26.95797
124,159.8507,16.245802,26.232468
125,38.48003,14.883864,26.780752
126,7.1838565,14.243271,27.35251
127,18.010893,15.361011,28.685532
128,62.82984,15.597646,28.20724
129,96.88696,15.670364,27.652906
130,109.14084,15.330156,26.286385
131,75.31432,15.587917,27.171646
132,67.050766,15.8670635,26.821384
133,104.85512,15.702521,26.63823
134,130.26598,16.035135,26.448343
135,165.36723,15.948677,26.681408
136,117.00671,16.383303,26.832468
137,36.829872,14.746364,26.84325
138,22.99085,14.443271,27.31501
139,29.023907,15.9235115,27.43397
140,173.2653,15.849209,27.34474
141,102.73508,14.084427,25.752907
142,145.09587,14.1301565,24.247322
143,98.97017,14.572292,25.071646
144,48.603294,14.493626,26.324509
145,82.43271,15.602522,27.33823
146,99.50055,15.711698,26.710844
147,204.16263,15.423677,25.632969
148,106.00136,15.7083025,25.480906
149,51.75151,14.846364,26.34325
150,6.250417,14.382334,27.238447
151,21.534405,16.084448,28.47147
152,61.18883,15.735146,28.04474
153,93.35047,15.960989,27.24353
154,128.32742,15.483281,25.877008
155,91.53397,14.723854,25.460709
156,75.85865,16.242064,27.258884
157,85.17419,15.463459,26.81323
158,151.99796,16.135136,26.248344
159,164.34528,14.775239,23.73297
160,108.47847,15.683302,26.255905
161,14.321952,13.468239,26.227627
162,6.250417,14.429209,28.31501
163,24.815792,15.261011,27.97147
164,121.259926,16.388271,28.383802
165,79.16388,16.32349,27.891968
166,149.3447,15.292656,26.623884
167,92.10348,15.486354,25.632584
168,85.962364,15.718625,25.872948
