,precip,mintemp,maxtemp
0,6.791525,16.2025,32.966072
1,9.508206,17.264193,33.054634
2,38.48835,17.997652,32.445816
3,147.41441,18.51139,30.957638
4,164.0307,18.265007,30.01451
5,143.84033,16.8971,28.736616
6,124.34836,17.391281,28.015171
7,171.65414,17.315655,28.909994
8,166.8472,15.878399,29.331564
9,246.15929,16.141058,29.39817
10,63.590065,17.423777,31.916006
11,31.998486,16.204466,30.90727
12,25.832949,17.399202,34.03951
13,34.19682,18.903255,34.202034
14,79.38189,19.480986,32.720814
15,158.50433,18.710524,30.75677
16,167.46538,18.52334,29.77371
17,129.5554,17.379566,28.212484
18,141.94604,17.290413,27.81847
19,157.26744,17.016521,28.230827
20,140.21657,17.061733,29.731564
21,158.32338,17.66519,30.626469
22,80.401726,17.006243,31.009235
23,26.992813,16.1003,32.0031
24,16.408707,17.401632,33.561905
25,49.605667,19.48329,34.782066
26,97.17632,19.201818,33.045815
27,151.70943,19.234655,31.080902
28,165.10158,18.965008,30.115377
29,103.8001,18.097101,29.133318
30,120.59759,17.768017,28.596073
31,147.25786,17.43649,29.130829
32,147.28465,17.437601,30.790766
33,176.81274,16.861023,30.222301
34,86.22619,18.113708,30.53007
35,87.680725,17.504465,32.103104
36,17.182894,17.9025,34.062775
37,54.051342,18.720789,34.020435
38,107.353775,19.453556,33.197548
39,183.54819,19.913822,30.777603
40,202.19504,19.244173,29.691246
41,105.499535,17.9971,28.633318
42,150.96367,17.862982,28.59104
43,204.32933,16.56062,27.674927
44,164.2061,18.345066,28.730696
45,113.188545,16.76519,29.726469
46,64.37162,17.965445,30.885103
47,48.830383,17.780334,33.362305
48,36.585228,19.106667,34.36364
49,30.681519,18.683289,34.986233
50,87.95027,18.405117,32.24998
51,211.68503,19.094725,29.35677
52,146.8431,19.045042,29.691246
53,120.74159,18.3004,29.036615
54,139.05998,17.466282,28.594337
55,234.68709,17.113224,29.130829
56,151.46269,17.041767,29.3116
57,133.86153,16.921093,29.98237
58,120.95969,17.486277,30.781803
59,27.801981,17.307764,31.506401
60,12.365442,16.179235,32.943676
61,31.379265,19.286589,35.4654
62,72.7903,20.26102,32.820816
63,152.05392,19.509655,32.235935
64,186.50372,18.645042,28.815378
65,115.63008,18.07297,28.709187
66,139.38254,17.187983,27.511871
67,134.01102,17.316523,28.530828
68,149.9009,17.661734,29.931564
69,131.9532,16.866058,29.82317
70,62.208298,17.206244,31.884235
71,27.801981,16.496132,33.762306
72,12.365442,18.006666,34.159473
73,41.05111,19.06749,34.66297
74,129.21225,20.056854,32.423416
75,175.88922,19.03882,30.681768
76,172.94946,17.565006,28.715378
77,96.75665,17.500399,28.932451
78,121.8334,17.29128,28.519337
79,233.9305,17.62069,28.550793
80,194.6852,16.570066,28.831564
81,126.90214,17.321962,30.778204
82,80.528824,17.706244,30.81427
83,69.6453,17.488667,31.310568
84,12.365442,18.183403,33.73951
85,31.379265,19.06749,34.286232
86,68.14041,19.585154,33.82498
87,179.53702,19.49889,30.95677
88,184.87032,18.94834,30.29871
89,115.91416,17.201267,28.141651
90,179.63571,16.59215,27.420206
91,292.38605,16.940655,27.850794
92,345.63986,17.3376,29.2116
93,102.23938,16.949392,30.402336
94,66.213745,16.513708,30.309235
95,27.801981,17.847868,32.466473
96,33.329983,19.369167,34.74194
97,31.379265,19.099087,34.186234
98,78.42717,19.489319,32.74998
99,129.4808,17.938822,30.176735
100,163.7897,18.128376,28.991245
101,123.96953,17.704567,28.341652
102,136.41614,17.071316,28.39104
103,205.87202,17.62069,28.626661
104,224.22868,18.461733,29.827398
105,225.51476,17.545225,29.219004
106,103.765816,17.510408,31.005936
107,20.074883,16.005333,30.803102
108,19.936039,18.102499,34.162773
109,78.54108,18.515755,34.010365
110,54.188354,19.681854,33.12168
111,157.55986,19.613821,30.580034
112,155.48553,18.669174,29.819544
113,71.86138,18.001268,29.237486
114,138.65723,18.091282,29.215172
115,159.32686,17.919823,29.32996
116,186.02324,18.061733,30.031565
117,153.95482,17.669357,30.630634
118,83.63701,17.810408,31.310102
119,57.68284,18.6878,33.286438
120,26.364758,17.246597,33.7027
121,71.76518,17.308289,32.802902
122,112.32039,19.665186,33.605015
123,163.70296,19.535522,31.38177
124,185.353,18.572472,29.918676
125,120.74159,17.699532,28.931583
126,167.72908,17.391281,28.615171
127,211.94977,17.516521,28.926662
128,163.75618,17.660866,29.830696
129,165.46603,17.570225,30.727337
130,70.37062,17.614576,31.410103
131,57.68284,18.008633,32.60727
132,14.733316,18.6867,34.846973
133,26.17635,18.408289,33.70707
134,121.20171,19.509285,33.35328
135,154.47658,19.455488,31.301735
136,173.44263,18.765007,30.11451
137,95.285515,17.9004,29.13245
138,135.8614,17.195448,28.219337
139,180.0824,17.036488,27.383259
140,225.4464,17.173365,28.95153
141,136.8461,16.046093,29.304073
142,87.26877,16.53211,29.931805
143,32.164948,16.329466,30.828102
144,18.349682,16.007534,32.759476
145,28.567368,18.187456,34.079636
146,67.74322,18.802687,33.04252
147,210.41841,18.111391,30.057638
148,187.2436,18.08584,29.23621
149,117.78016,17.7971,28.737486
150,154.2205,17.087114,27.815172
151,136.16545,17.136488,28.270758
152,299.91168,17.753399,29.923231
153,234.2668,17.36519,30.32647
154,94.88137,17.310408,30.905935
155,113.062485,16.130333,30.628971
156,26.02004,17.646597,34.08274
157,47.081764,17.712456,33.307068
158,122.10733,18.798521,32.642517
159,206.96597,17.434656,29.281769
160,186.0185,17.993305,29.735342
161,97.99959,16.3096,28.30832
162,153.26784,16.693016,28.40354
163,290.92007,16.516521,27.92666
164,284.32678,17.358435,29.428267
165,177.68991,17.26276,30.519003
166,83.113365,17.607111,31.281803
167,61.773026,16.704466,31.008137
168,13.17132,16.923334,32.88777
169,39.40299,18.000824,33.103767
170,82.62298,18.701818,32.741646
171,105.924736,17.335524,29.578472
172,165.62773,18.181673,29.332045
173,130.74556,18.401268,29.537485
174,153.15091,17.984684,28.81274
175,180.0824,16.717392,27.340029
176,175.85312,17.065899,29.13573
177,136.8461,16.745226,29.410671
178,87.26877,16.90711,30.31097
179,41.691578,16.605333,31.20397
180,18.349682,16.502499,32.663643
181,47.081764,17.528255,32.832066
182,87.95027,18.005117,31.84998
183,165.12161,18.112259,29.662672
184,176.42242,17.669174,28.719543
185,112.1011,17.821232,28.366652
186,144.69676,17.31628,27.96934
187,180.0824,16.764788,28.079092
188,179.5576,17.282566,29.356564
189,163.45895,17.855295,30.324905
190,114.82743,17.227943,30.235102
191,59.981148,17.405333,31.703102
192,30.555704,18.315,33.883606
193,27.791624,18.624956,33.923733
194,67.20502,18.88602,32.634182
195,184.72083,19.032225,30.878471
196,187.5821,18.061708,29.212078
197,135.4923,17.697102,28.833319
198,142.38936,17.584684,28.612741
199,169.45935,16.740656,28.32666
200,133.82599,16.757566,28.927399
201,166.74026,16.966059,30.319004
202,66.7388,17.427076,30.92677
203,59.771515,17.001167,31.600672
204,18.349682,16.3058,33.059475
205,46.844154,17.80499,33.199604
206,95.61259,18.718485,32.36665
207,116.3645,18.934656,31.176735
208,157.27806,18.765007,29.915379
209,89.40665,17.817066,28.658318
210,230.50351,17.283815,27.720207
211,249.16374,17.732323,28.45496
212,175.85312,17.157566,28.935732
213,254.671,17.536892,30.202335
214,83.431145,16.806242,30.305935
215,24.226534,16.208632,31.103102
216,14.547633,16.898335,32.66694
217,78.415184,17.784157,33.5746
218,87.95027,17.581854,31.130016
219,165.12161,17.632225,29.478472
220,310.32812,17.464138,28.615377
221,217.86131,17.100399,28.236616
222,111.06933,16.887983,27.71604
223,154.29462,16.215654,27.230827
224,146.07918,16.685865,29.327398
225,155.04198,17.26519,30.227337
226,54.27492,18.002075,31.50177
227,72.05714,17.801167,32.20397
